0	AG_L	AG_R	frontal_L	insular_L	insular_R	MTG_L
sub-10048	0.1448	0.04052	0.154	0.057460000000000004	0.05476	0.2765
sub-10076	0.1484	0.2291	-0.001149	0.008403	0.2175	0.2287
sub-10086	0.2086	0.2268	0.01202	-0.2005	0.1489	0.08943
sub-10108	0.3836	0.1683	0.1534	-0.02494	0.042660000000000003	0.1692
sub-10142	0.03492	-0.01356	0.02865	0.08019	0.01968	0.02311
sub-10155	0.1121	0.1801	0.08329	0.3083	0.2589	0.1329
sub-10185	0.3632	0.3412	0.355	0.4823	0.6256	0.4293
sub-10186	0.08116	0.2436	0.2549	0.1375	0.2895	0.1013
sub-10188	0.0956	0.2492	0.1042	0.3597	0.3857	0.01119
sub-10218	0.1212	-0.0376	0.06742000000000001	0.1103	0.02263	0.023569999999999997
sub-10245	0.1039	-0.02216	-0.0372	0.012329999999999999	-0.036039999999999996	0.1473
sub-10261	0.1478	0.09392	0.1461	0.07399	0.03606	0.1197
sub-10284	0.2312	0.2423	0.1157	0.4808	0.4199	0.2876
sub-10353	0.1222	-0.04785	0.06187	-0.10800000000000001	0.07049	0.2647
sub-10404	0.1316	0.1748	0.09291	0.052410000000000005	0.1606	0.08172
sub-10434	0.1787	0.3667	0.08248	0.3781	0.4762	0.07211000000000001
sub-10449	0.1423	0.1513	0.1036	0.3485	0.3372	0.1012
sub-10451	0.1149	0.061239999999999996	0.0977	-0.03648	0.04702	0.08283
sub-10456	0.2035	0.1017	0.1433	0.3158	0.2763	0.2086
sub-10469	0.2058	0.1139	0.1276	0.594	0.3759	0.031039999999999998
sub-10471	0.3242	0.3121	0.2111	0.2851	0.3545	0.11699999999999999
sub-10472	0.0555	0.131	0.009078	0.1094	0.2273	0.1246
sub-10473	0.2817	0.2941	0.1906	0.4465	0.2343	0.111
sub-10474	0.014709999999999999	0.05876	0.029560000000000003	0.08545	0.161	-0.08446000000000001
sub-10573	0.0848	0.09304	0.1076	0.041960000000000004	0.04496	0.138
sub-10593	0.0076549999999999995	0.001549	0.1468	0.129	0.004358	0.1973
sub-10620	0.08746	0.04464	0.231	0.1845	0.1821	0.1194
sub-8494	0.16	0.1411	0.07127	0.1976	0.2591	0.2352
sub-9097	0.0332	0.2147	0.07193	0.08146	0.0674	-0.052610000000000004
sub-9389	0.06842000000000001	0.09802000000000001	0.04007	0.08227000000000001	0.08715	0.005647
sub-9393	0.059329999999999994	0.1504	0.002719	0.1274	0.2141	0.1095
sub-9420	0.041569999999999996	0.01371	0.0689	-0.01042	0.053770000000000005	-0.106
sub-9431	0.1004	0.09833	0.1124	0.2322	0.09527000000000001	0.19399999999999998
sub-9454	0.3248	0.1976	0.3071	0.1613	0.0733	0.2893
sub-9478	0.05321	0.027110000000000002	0.04567	0.03729	0.07637999999999999	-0.02513
sub-9503	0.1293	0.08962	0.1395	0.1181	0.09243	0.2935
sub-9539	0.20800000000000002	0.2432	0.1466	0.2275	0.05629	0.126
sub-9575	0.0835	0.2176	0.2977	0.6163	0.6851	0.2175
sub-9634	0.19699999999999998	0.1479	0.1869	0.257	0.2598	0.2376
sub-9664	0.17800000000000002	0.05926	0.03955	-0.01339	0.02806	0.02196
sub-9675	0.3203	0.1085	0.2753	0.1268	0.2033	0.3137
sub-9676	-0.04228	-0.00155	-0.020040000000000002	0.2322	0.2185	-0.06327999999999999
sub-9686	0.01119	0.1114	0.1194	0.09638	0.08435	-0.1218
sub-9734	0.0019399999999999999	0.062310000000000004	-0.05371	-0.05417999999999999	-0.1232	-0.1663
sub-9790	-0.01292	0.1173	-0.023190000000000002	0.2337	0.2776	0.08447
sub-9933	0.05934	0.2358	-0.06467	0.0766	0.1669	0.08116
sub-9934	0.1363	0.1692	0.1178	0.1979	0.257	-0.1112
sub-9946	0.056260000000000004	0.1344	0.05984	0.030739999999999996	0.05981	-0.004093
sub-9995	0.2256	0.2454	0.2003	0.09742	0.3354	0.1799
