	lf_HRV	hf_HRV
0.0	0.0	0.0
0.25	0.0	0.0
0.5	0.0	0.0
0.75	0.0	0.0
1.0	0.0	0.0
1.25	0.0	0.0
1.5	0.0	0.0
1.75	0.0	0.0
2.0	0.0	0.0
2.25	0.0	0.0
2.5	0.0	0.0
2.75	0.0	0.0
3.0	0.0	0.0
3.25	0.0	0.0
3.5	0.0	0.0
3.75	0.0	0.0
4.0	0.0	0.0
4.25	0.0	0.0
4.5	0.0	0.0
4.75	0.0	0.0
5.0	0.0	0.0
5.25	0.0	0.0
5.5	0.0	0.0
5.75	0.0	0.0
6.0	0.0	0.0
6.25	0.0	0.0
6.5	0.0	0.0
6.75	0.0	0.0
7.0	0.0	0.0
7.25	0.0	0.0
7.5	0.0	0.0
7.75	0.0	0.0
8.0	0.0	0.0
8.25	0.0	0.0
8.5	0.0	0.0
8.75	0.0	0.0
9.0	0.0	0.0
9.25	0.0	0.0
9.5	0.0	0.0
9.75	0.0	0.0
10.0	0.0	0.0
10.25	0.002840790239183687	0.00041511653013329207
10.5	0.002840790239183687	0.00041511653013329207
10.75	0.002840790239183687	0.00041511653013329207
11.0	0.0014490953698016204	0.00012198390389582208
11.25	0.0024069388705594197	0.00025312278033754734
11.5	0.0024069388705594197	0.00025312278033754734
11.75	0.0024069388705594197	0.00025312278033754734
12.0	0.0012169167445236135	0.0006737539483713788
12.25	0.0018299921044446178	0.0003317974160336192
12.5	0.0018299921044446178	0.0003317974160336192
12.75	0.0018299921044446178	0.0003317974160336192
13.0	0.00133300215296134	0.0013636369892310568
13.25	0.0018147299990236647	0.0013364374696907208
13.5	0.0018147299990236647	0.0013364374696907208
13.75	0.0018147299990236647	0.0013364374696907208
14.0	0.0012537298467567445	0.0012115196307694543
14.25	0.0018148641973786367	0.0015287515407901423
14.5	0.0018148641973786367	0.0015287515407901423
14.75	0.0018148641973786367	0.0015287515407901423
15.0	0.0012168928899686264	0.0008729484526526335
15.25	0.0017319738298452398	0.0012496690591910214
15.5	0.0017319738298452398	0.0012496690591910214
15.75	0.0017319738298452398	0.0012496690591910214
16.0	0.0012904442458266828	0.000416897189002923
16.25	0.0017576728916364078	0.0006675003162188539
16.5	0.0017576728916364078	0.0006675003162188539
16.75	0.0017576728916364078	0.0006675003162188539
17.0	0.0013544953542216312	0.0003330716961507128
17.25	0.0018214452428178538	0.0003609754229888136
17.5	0.0018214452428178538	0.0003609754229888136
17.75	0.0018214452428178538	0.0003609754229888136
18.0	0.0013680341916108526	0.0004296361437919145
18.25	0.0018310308866961134	0.0004368383505852052
18.5	0.0018310308866961134	0.0004368383505852052
18.75	0.0018310308866961134	0.0004368383505852052
19.0	0.0013996775869671815	0.0005452683144990617
19.25	0.0018232028651308132	0.0005977636223209904
19.5	0.0018232028651308132	0.0005977636223209904
19.75	0.0018232028651308132	0.0005977636223209904
20.0	0.0015178041704564614	0.0006445520408680606
20.25	0.0018830936592772666	0.0006995022357514965
20.5	0.0018830936592772666	0.0006995022357514965
20.75	0.0018830936592772666	0.0006995022357514965
